"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value","Flag and Footnotes"
"2019","Belgium","Person","97 years","Total","Baseline projections ","4,106",""
"2019","Belgium","Person","98 years","Total","Baseline projections ","2,719",""
"2019","Belgium","Person","99 years","Total","Baseline projections ","1,320",""
"2019","Belgium","Person","100 years or over","Total","Baseline projections ","1,688",""
"2019","Bulgaria","Person","Total","Total","Baseline projections ","7,006,502",""
"2019","Bulgaria","Person","16 years","Total","Baseline projections ","61,659",""
"2019","Bulgaria","Person","17 years","Total","Baseline projections ","61,513",""
"2019","Bulgaria","Person","18 years","Total","Baseline projections ","65,302",""
"2019","Bulgaria","Person","19 years","Total","Baseline projections ","65,781",""
"2019","Bulgaria","Person","20 years","Total","Baseline projections ","58,591",""
"2019","Bulgaria","Person","21 years","Total","Baseline projections ","56,709",""
"2019","Bulgaria","Person","22 years","Total","Baseline projections ","63,361",""
"2019","Bulgaria","Person","23 years","Total","Baseline projections ","62,961",""
"2019","Bulgaria","Person","24 years","Total","Baseline projections ","69,191",""
"2019","Bulgaria","Person","25 years","Total","Baseline projections ","73,848",""
"2019","Bulgaria","Person","26 years","Total","Baseline projections ","77,583",""
"2019","Bulgaria","Person","27 years","Total","Baseline projections ","83,978",""
"2019","Bulgaria","Person","28 years","Total","Baseline projections ","90,797",""
"2019","Bulgaria","Person","29 years","Total","Baseline projections ","95,044",""
"2019","Bulgaria","Person","30 years","Total","Baseline projections ","96,963",""
"2019","Bulgaria","Person","31 years","Total","Baseline projections ","94,942",""
"2019","Bulgaria","Person","32 years","Total","Baseline projections ","96,956",""
"2019","Bulgaria","Person","33 years","Total","Baseline projections ","94,402",""
"2019","Bulgaria","Person","34 years","Total","Baseline projections ","95,648",""
"2019","Bulgaria","Person","35 years","Total","Baseline projections ","95,436",""
"2019","Bulgaria","Person","36 years","Total","Baseline projections ","95,231",""
"2019","Bulgaria","Person","37 years","Total","Baseline projections ","96,719",""
"2019","Bulgaria","Person","38 years","Total","Baseline projections ","97,855",""
"2019","Bulgaria","Person","39 years","Total","Baseline projections ","103,619",""
"2019","Bulgaria","Person","40 years","Total","Baseline projections ","103,603",""
"2019","Bulgaria","Person","41 years","Total","Baseline projections ","107,267",""
"2019","Bulgaria","Person","42 years","Total","Baseline projections ","109,453",""
"2019","Bulgaria","Person","43 years","Total","Baseline projections ","109,835",""
"2019","Bulgaria","Person","44 years","Total","Baseline projections ","113,108",""
"2019","Bulgaria","Person","45 years","Total","Baseline projections ","106,015",""
"2019","Bulgaria","Person","46 years","Total","Baseline projections ","99,322",""
"2019","Bulgaria","Person","47 years","Total","Baseline projections ","101,671",""
"2019","Bulgaria","Person","48 years","Total","Baseline projections ","104,352",""
"2019","Bulgaria","Person","49 years","Total","Baseline projections ","106,546",""
"2019","Bulgaria","Person","50 years","Total","Baseline projections ","103,715",""
"2019","Bulgaria","Person","51 years","Total","Baseline projections ","90,882",""
"2019","Bulgaria","Person","52 years","Total","Baseline projections ","89,378",""
"2019","Bulgaria","Person","53 years","Total","Baseline projections ","90,594",""
"2019","Bulgaria","Person","54 years","Total","Baseline projections ","93,766",""
"2019","Bulgaria","Person","55 years","Total","Baseline projections ","94,294",""
"2019","Bulgaria","Person","56 years","Total","Baseline projections ","94,690",""
"2019","Bulgaria","Person","57 years","Total","Baseline projections ","97,071",""
"2019","Bulgaria","Person","58 years","Total","Baseline projections ","96,489",""
"2019","Bulgaria","Person","59 years","Total","Baseline projections ","94,177",""
"2019","Bulgaria","Person","60 years","Total","Baseline projections ","95,014",""
"2019","Bulgaria","Person","61 years","Total","Baseline projections ","95,174",""
"2019","Bulgaria","Person","62 years","Total","Baseline projections ","98,136",""
"2019","Bulgaria","Person","63 years","Total","Baseline projections ","97,619",""
"2019","Bulgaria","Person","64 years","Total","Baseline projections ","94,640",""
"2019","Bulgaria","Person","65 years","Total","Baseline projections ","94,972",""
"2019","Bulgaria","Person","66 years","Total","Baseline projections ","92,916",""
"2019","Bulgaria","Person","67 years","Total","Baseline projections ","89,382",""
"2019","Bulgaria","Person","68 years","Total","Baseline projections ","100,453",""
"2019","Bulgaria","Person","69 years","Total","Baseline projections ","95,778",""
"2019","Bulgaria","Person","70 years","Total","Baseline projections ","90,719",""
"2019","Bulgaria","Person","71 years","Total","Baseline projections ","85,077",""
"2019","Bulgaria","Person","72 years","Total","Baseline projections ","86,259",""
"2019","Bulgaria","Person","73 years","Total","Baseline projections ","75,137",""
"2019","Bulgaria","Person","74 years","Total","Baseline projections ","66,799",""
"2019","Bulgaria","Person","75 years","Total","Baseline projections ","64,459",""
"2019","Bulgaria","Person","76 years","Total","Baseline projections ","60,864",""
"2019","Bulgaria","Person","77 years","Total","Baseline projections ","55,861",""
"2019","Bulgaria","Person","78 years","Total","Baseline projections ","53,109",""
"2019","Bulgaria","Person","79 years","Total","Baseline projections ","47,303",""
"2019","Bulgaria","Person","80 years","Total","Baseline projections ","44,775",""
"2019","Bulgaria","Person","81 years","Total","Baseline projections ","42,150",""
"2019","Bulgaria","Person","82 years","Total","Baseline projections ","40,489",""
"2019","Bulgaria","Person","83 years","Total","Baseline projections ","35,740",""
"2019","Bulgaria","Person","84 years","Total","Baseline projections ","35,128",""
"2019","Bulgaria","Person","85 years","Total","Baseline projections ","29,460",""
"2019","Bulgaria","Person","86 years","Total","Baseline projections ","26,060",""
"2019","Bulgaria","Person","87 years","Total","Baseline projections ","19,493",""
"2019","Bulgaria","Person","88 years","Total","Baseline projections ","17,269",""
"2019","Bulgaria","Person","89 years","Total","Baseline projections ","12,940",""
"2019","Bulgaria","Person","90 years","Total","Baseline projections ","10,521",""
"2019","Bulgaria","Person","91 years","Total","Baseline projections ","7,696",""
"2019","Bulgaria","Person","92 years","Total","Baseline projections ","6,210",""
"2019","Bulgaria","Person","93 years","Total","Baseline projections ","4,297",""
"2019","Bulgaria","Person","94 years","Total","Baseline projections ","3,082",""
"2019","Bulgaria","Person","95 years","Total","Baseline projections ","1,945",""
"2019","Bulgaria","Person","96 years","Total","Baseline projections ","1,317",""
"2019","Bulgaria","Person","97 years","Total","Baseline projections ","818",""
"2019","Bulgaria","Person","98 years","Total","Baseline projections ","495",""
"2019","Bulgaria","Person","99 years","Total","Baseline projections ","285",""
"2019","Bulgaria","Person","100 years or over","Total","Baseline projections ","258",""
"2019","Czechia","Person","Total","Total","Baseline projections ","10,630,206",""
"2019","Czechia","Person","16 years","Total","Baseline projections ","94,058",""
"2019","Czechia","Person","17 years","Total","Baseline projections ","92,457",""
"2019","Czechia","Person","18 years","Total","Baseline projections ","92,395",""
"2019","Czechia","Person","19 years","Total","Baseline projections ","91,293",""
